Gene ID,Gene Name,proliferating embryo Ce,elongating embryo Ce,fully-elongated embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,newly molted young adult hermaphrodite Ce,adult Ce,L2d-dauer molt Ce,dauer larva Ce,post dauer stage Ce
WBGene00008176,C48B4.13,0.2,0.1,11,2,5,5,2,2,0.2,38,3,0.9
WBGene00008177,C48D1.1,15,36,13,11,5,2,1,1,1,5,12,7
WBGene00008178,C48D1.5,3,6,3,0.6,1,0.3,0.5,1,1,2,0.6,0.5
WBGene00008180,C48D5.3,,0.2,1,0.5,21,8,2,0.3,,1,,0.4
WBGene00008183,rin-1,20,59,57,19,16,15,4,21,31,20,14,9
WBGene00008184,C49A1.1,0.5,,0.3,0.7,,0.2,0.2,,,0.1,,
WBGene00008185,best-10,0.7,,0.4,0.4,0.1,2,1,0.9,0.3,,,
WBGene00008186,best-11,0.8,0.3,0.6,,0.4,4,1,1,0.3,,0.1,
WBGene00008187,C49A1.5,0.4,0.1,1,0.9,0.2,,,,,,,
WBGene00008188,clec-115,,,0.2,0.1,,,,,,,0.3,
WBGene00008190,clec-114,,,0.3,0.3,,,,,,,,
WBGene00008191,C49A1.10,3,48,68,30,25,29,21,10,4,54,26,15
WBGene00008194,C49C3.4,2,5,44,60,62,90,16,37,33,42,10,13
WBGene00008195,ceh-88,4,24,24,17,10,8,4,5,3,17,17,6
WBGene00008196,C49C3.6,42,32,18,11,5,11,8,36,39,15,15,12
WBGene00008197,C49C3.7,39,26,17,9,8,13,4,36,24,16,21,14
WBGene00008198,C49C3.8,8,46,17,8,7,8,3,4,2,22,33,19
WBGene00008199,C49C3.9,,5,4,7,6,29,8,17,3,3,0.9,5
WBGene00008200,C49C3.10,0.6,4,4,8,8,14,6,6,3,40,10,6
WBGene00008201,C49C3.11,0.1,0.7,1,0.1,,0.1,1,0.5,0.6,,,
WBGene00008202,clec-197,,,0.4,0.4,0.2,0.2,0.9,0.6,2,,0.1,0.1
WBGene00008203,clec-198,0.1,,0.5,7,4,2,1,0.8,0.6,0.8,0.3,0.5
WBGene00008204,C49C3.15,7,24,16,6,4,5,4,3,4,12,13,7
WBGene00008205,sams-1,22,97,232,160,281,766,97,173,94,51,91,173
WBGene00008206,set-6,5,18,16,13,8,5,3,3,3,9,7,5
WBGene00008207,C49F5.3,40,5,6,0.2,0.1,0.8,3,13,17,0.5,0.6,0.2
WBGene00008208,nhr-167,,,2,3,1,0.7,0.4,0.3,0.1,1,1,2
WBGene00008209,C49F5.5,0.8,0.1,0.5,0.1,0.1,0.7,2,1,0.1,,,
WBGene00008210,C49F5.6,10,3,3,1,1,0.9,0.5,10,18,2,0.2,0.1
WBGene00008211,C49F5.7,,,2,39,9,85,46,177,162,71,57,53
WBGene00008212,C49F5.8,0.3,0.3,1,0.9,1,1,1,1,0.1,0.7,0.8,1
WBGene00008213,C49F8.1,1,1,6,10,6,4,6,2,2,13,10,7
WBGene00008214,gem-1,1,4,8,14,7,5,2,4,4,17,12,11
WBGene00008215,C49F8.3,7,10,240,25,98,48,132,10,3,77,6,12
WBGene00008216,C49G9.1,0.1,,0.5,1,2,1,1,2,1,3,1,0.6
WBGene00008217,C50B6.1,,,,,,,,,,,,
WBGene00008218,nasp-2,477,30,59,4,13,13,18,207,529,17,14,12
WBGene00008219,C50B6.3,33,34,24,17,8,8,4,35,30,8,11,11
WBGene00008220,C50B6.7,0.3,0.9,3,3,10,22,12,9,14,5,2,3
WBGene00008221,nhr-168,3,9,6,4,3,2,0.9,1,0.4,0.7,0.9,2
WBGene00008222,C50B6.9,5,48,23,1,4,2,3,2,0.5,2,0.4,0.5
WBGene00008223,lgc-48,,,0.4,0.8,0.2,0.2,0.1,0.1,,2,2,1
WBGene00008224,C50B8.1,126,82,77,98,49,53,68,116,125,208,141,130
WBGene00008225,nuaf-1,14,23,15,17,9,11,8,18,8,19,31,19
WBGene00008226,C50B8.4,3,46,40,6,13,9,6,2,2,15,15,11
WBGene00008227,C50B8.5,1,13,13,8,10,10,4,4,2,13,12,6
WBGene00008228,C50B8.6,6,24,54,46,16,12,19,11,4,15,10,6
WBGene00008229,C50F4.1,0.6,0.9,20,83,27,69,12,31,15,25,25,23
WBGene00008230,pfk-1.2,0.3,,0.6,9,0.1,5,3,4,2,0.6,2,0.3
WBGene00008231,tag-329,0.2,0.1,0.3,1,0.2,0.1,0.7,0.5,0.3,0.1,0.1,
WBGene00008232,C50F4.4,8,18,6,4,4,6,4,11,9,9,10,10
WBGene00008233,C50F4.8,1,0.8,7,29,23,37,15,17,23,48,9,10
WBGene00008234,C50F4.9,1,6,5,4,4,3,2,3,2,7,3,4
WBGene00008235,C50F4.10,0.2,,0.4,2,,3,7,6,1,1,0.4,0.5
WBGene00008236,C50F4.12,8,6,5,2,4,4,4,13,9,8,9,7
WBGene00008237,nstp-10,46,42,37,18,36,35,27,31,30,21,19,16
WBGene00008238,C50F4.16,14,13,9,20,22,20,9,29,18,24,32,32
WBGene00008239,fshr-1,0.7,5,9,27,17,16,4,8,4,12,12,11
WBGene00008240,C50H2.4,0.7,2,1,3,0.5,,0.3,0.2,,1,3,2
WBGene00008241,C50H2.5,1,0.5,0.2,,,,,,,,,
WBGene00008242,ceh-75,,0.1,0.7,0.1,,,,,,,,
WBGene00008243,C50H2.7,,,,,,0.7,1,2,0.1,,,
WBGene00008244,fipr-11,,,,2,0.2,15,4,21,0.9,0.3,0.2,1
WBGene00008245,fipr-10,,,0.2,1,3,33,16,14,0.9,,0.3,
WBGene00008246,C50H2.13,0.2,3,3,14,11,12,3,7,3,2,0.9,4
WBGene00008247,srsx-26,,,0.3,1,0.2,0.9,0.4,0.3,,0.9,0.7,0.2
WBGene00008248,srsx-27,3,0.1,0.7,2,2,0.8,0.5,0.5,0.6,0.6,0.9,0.5
WBGene00008249,srsx-28,0.1,,0.1,0.8,0.7,0.2,0.3,0.1,,0.5,0.3,0.3
WBGene00008250,srsx-29,,,,0.7,,,,,,0.1,0.1,0.1
WBGene00008251,srsx-30,,,0.7,2,1,0.6,0.6,0.5,,2,2,2
WBGene00008252,C51E3.6,2,14,11,3,8,5,3,5,2,35,14,11
WBGene00008254,C51E3.9,1,4,33,37,43,45,23,17,4,39,38,41
WBGene00008255,C51E3.10,2,26,12,3,8,17,8,12,6,13,11,20
WBGene00008256,glb-12,,0.9,4,5,2,1,0.9,0.6,0.1,4,6,3
WBGene00008257,C52A11.3,,,0.1,4,0.2,,0.1,,,0.3,0.4,
WBGene00008258,mans-2,3,29,35,15,35,51,13,19,6,34,18,22
WBGene00008259,C52E4.7,0.6,0.9,0.5,0.1,,4,4,9,3,,0.3,
WBGene00008260,C52G5.2,9,74,104,1,77,56,128,25,10,30,7,8
WBGene00008261,C52G5.3,,,0.6,0.7,2,0.8,1,,0.3,3,5,3
WBGene00008262,ril-1,553,203,287,487,580,620,674,351,426,425,350,351
WBGene00008263,C53A5.2,15,200,202,2,2,3,5,2,2,3,2,2
WBGene00008265,kcnl-4,1,0.2,3,7,3,3,2,0.9,0.6,11,8,8
WBGene00008266,C53A5.6,13,30,21,48,10,11,7,27,27,13,15,13
WBGene00008267,C53A5.9,0.1,1,4,0.7,0.2,0.1,,,,1,0.7,0.3
WBGene00008268,srt-32,,,0.1,0.1,0.1,,,,,1,2,0.5
WBGene00008269,C53A5.11,0.1,0.2,0.9,3,0.7,,0.2,,,0.4,0.6,0.1
WBGene00008270,C53A5.13,1,1,12,12,9,11,2,6,3,8,11,10
WBGene00008271,C53B4.1,0.2,,1,0.9,2,0.6,0.4,0.4,,0.8,0.4,1
WBGene00008272,C53B4.2,,,0.1,0.2,0.2,1,0.5,1,0.2,,0.1,0.3
WBGene00008273,C53B4.3,2,19,11,4,11,18,6,7,2,10,7,5
WBGene00008274,C53B4.4,20,30,26,42,28,23,7,29,44,30,29,22
WBGene00008275,nstp-1,7,19,10,17,8,8,4,10,8,10,13,10
WBGene00008277,mltn-12,2,3,13,0.1,2,3,3,0.6,0.1,0.6,0.2,0.3
WBGene00008278,npr-10,0.2,0.1,4,7,2,2,1,2,1,6,5,5
WBGene00008279,C53C7.3,5,0.7,2,1,1,,0.3,,,0.7,0.8,0.3
WBGene00008280,acc-2,,,2,2,2,0.7,0.6,0.8,0.1,2,1,2
WBGene00008281,C53D6.4,22,25,16,7,13,18,10,30,34,13,13,10
WBGene00008283,C53D6.6,9,18,15,2,5,3,2,4,2,7,6,3
WBGene00008284,C53D6.7,0.1,,2,5,9,22,6,19,5,88,32,18
WBGene00008285,C53D6.8,3,4,12,,,,,,,,,
WBGene00008286,C54C6.4,,,0.4,0.3,,,,,,0.3,0.8,0.2
WBGene00008287,C54C6.5,,,6,8,8,7,9,1,1,19,5,10
WBGene00008288,C54C6.6,24,35,34,17,11,12,6,18,12,13,17,14
WBGene00008289,nhr-169,,0.1,0.5,0.1,,,,,,,,
WBGene00008290,C54C8.2,,,0.1,,2,1,2,0.3,,,,
WBGene00008291,C54C8.3,,0.1,,,,,,0.1,,,,
WBGene00008292,C54C8.4,0.4,14,8,,4,2,0.2,,,1,0.1,0.1
WBGene00008293,glct-5,,,,,,,,,,,,
WBGene00008294,clec-11,,,,,,,,,0.1,2,0.7,
WBGene00008295,nlp-39,,,,,,0.2,,,7,0.4,0.4,
WBGene00008296,cdr-2,0.4,7,18,6,38,31,14,13,4,88,28,45
WBGene00008297,cdr-3,,,0.3,,,,,0.3,,26,30,8
WBGene00008298,C54D10.3,,,4,88,219,170,75,63,59,99,46,28
WBGene00008299,C54D10.4,,,0.3,,,2,4,3,0.5,,,
WBGene00008300,C54D10.5,0.2,1,7,21,8,2,1,0.9,0.1,6,7,6
WBGene00008301,dct-3,,0.1,2,5,2,3,1,0.8,0.2,39,5,3
WBGene00008302,C54D10.8,,0.1,1,3,0.5,0.8,0.4,0.6,0.1,21,5,3
WBGene00008303,C54D10.9,,0.3,2,4,0.7,1,2,1,0.1,29,5,3
WBGene00008304,C54D10.10,4,20,6,50,4,13,5,8,0.7,263,83,24
WBGene00008306,C54E10.1,0.1,,0.6,1,,0.1,,0.3,,0.3,0.5,0.2
WBGene00008307,ncs-5,,0.3,3,10,3,2,1,0.4,0.3,17,12,8
WBGene00008308,C54E10.3,,,0.8,2,0.1,0.2,0.3,,,2,1,1
WBGene00008309,nhr-170,0.4,3,6,6,1,2,1,1,0.6,2,4,2
WBGene00008310,C54E10.6,9,166,59,15,9,8,5,4,2,10,4,9
WBGene00008311,rskn-2,4,11,69,112,41,43,16,20,14,108,111,81
WBGene00008312,C54G4.2,,,0.1,0.1,,1,1,3,0.5,,,
WBGene00008313,C54G4.3,,,,0.1,,3,9,8,3,,,
WBGene00008314,C54G4.4,2,5,30,4,10,3,2,0.4,0.4,4,3,2
WBGene00008315,C54G4.5,1,0.8,13,4,8,5,3,3,0.9,14,13,7
WBGene00008316,dod-18,10,11,7,6,7,8,3,14,6,4,5,5
WBGene00008317,C54G4.7,10,12,16,19,14,14,9,22,14,23,25,19
WBGene00008318,C54G4.9,13,17,7,3,5,8,4,15,8,9,14,8
WBGene00008319,C54G10.1,,2,3,0.6,0.8,1,1,0.4,1,3,3,3
WBGene00008320,C54G10.4,1,7,6,48,3,3,1,1,2,16,19,23
WBGene00008321,C55A1.1,,,,,,,,,,1,0.8,0.3
WBGene00008322,C55A1.4,,,,0.6,,,,,,,0.1,0.3
WBGene00008323,C55A1.6,0.3,3,7,3,1,0.2,0.9,0.9,1,2,0.6,1
WBGene00008324,C55A1.7,0.1,0.6,2,0.9,,,,,,0.3,2,2
WBGene00008325,C55A1.9,,,0.3,2,,,,,,,,
WBGene00008326,C55A1.11,,,0.4,4,,,,,,,,
WBGene00008327,srz-44,,,2,0.1,,0.1,,0.1,0.1,,0.3,0.1
WBGene00008328,srz-43,,,,0.1,,,,,,,,
WBGene00008329,C55A1.15,,,,,,,,,,,,
WBGene00008330,C55A6.1,69,22,16,21,18,30,25,83,79,19,21,17
WBGene00008331,ttll-5,50,43,37,34,30,28,11,38,35,41,33,38
WBGene00008332,C55A6.3,0.7,0.5,4,5,3,6,6,8,3,25,21,12
WBGene00008333,C55A6.4,0.1,0.2,1,6,4,16,8,8,3,0.5,0.2,0.1
WBGene00008334,sdz-8,12,85,26,10,6,15,2,4,0.7,140,27,27
WBGene00008335,C55A6.6,4,47,14,18,5,11,1,5,1,49,29,18
WBGene00008336,C55A6.7,1,15,15,7,19,16,7,11,2,8,5,6
WBGene00008338,pafo-1,94,53,30,11,18,25,8,48,38,21,27,20
WBGene00008339,C55A6.10,23,24,13,18,13,13,6,16,15,16,21,16
WBGene00008340,C55A6.11,,1,2,2,1,2,2,3,1,1,1,0.6
WBGene00008341,ttr-44,0.4,0.1,33,139,223,92,72,35,43,465,216,238
WBGene00008342,frpr-5,0.2,,3,19,6,2,4,1,1,10,8,6
WBGene00008343,C56A3.4,46,16,17,50,14,8,5,29,29,17,22,14
WBGene00008344,C56A3.5,41,25,17,17,15,21,7,32,20,23,36,30
WBGene00008345,C56A3.6,10,30,34,17,24,21,12,23,22,63,62,43
WBGene00008346,C56A3.8,9,1,3,2,1,9,5,17,16,4,8,5
WBGene00008347,C56G7.2,0.6,0.4,1,1,0.2,1,2,1,0.4,0.7,0.8,0.6
WBGene00008348,C56G7.3,16,15,19,16,8,8,6,7,6,10,9,10
WBGene00008349,CE7X_3.1,0.2,0.2,0.5,0.6,,0.4,,1,0.3,0.1,0.5,0.1
WBGene00008352,fbxa-6,0.6,4,11,22,13,8,2,2,0.5,2,3,3
WBGene00008353,D1025.1,7,28,17,18,8,5,3,5,3,11,8,7
WBGene00008354,gcsh-1,4,9,15,6,28,46,43,48,6,0.4,0.3,5
WBGene00008355,fbxa-141,2,6,6,2,2,1,0.7,0.6,0.4,2,2,2
WBGene00008356,nspc-20,,,1,17,143,75,25,30,26,2,0.6,0.6
WBGene00008357,nspc-16,,,0.5,9,32,13,0.6,8,9,0.1,,
WBGene00008358,nspc-18,,,0.2,13,34,17,14,9,16,,,0.2
WBGene00008359,nspc-17,,,0.7,42,82,37,5,11,16,0.7,0.2,0.1
WBGene00008360,nspc-19,,,0.5,5,45,20,3,10,10,0.7,0.1,0.1
WBGene00008361,D1043.1,37,9,8,3,10,14,5,25,36,12,19,14
WBGene00008362,cfim-2,81,55,33,30,31,27,12,33,62,31,33,32
WBGene00008363,D1046.2,46,25,15,7,6,9,5,26,25,9,13,9
WBGene00008364,D1046.3,11,18,16,15,8,12,5,15,9,12,15,10
WBGene00008365,D1046.4,0.9,0.4,8,3,1,3,2,2,0.7,2,2,2
WBGene00008366,tpra-1,3,5,15,90,27,17,9,10,5,34,24,22
WBGene00008367,D1053.2,0.2,,0.2,0.3,,,0.1,0.1,,,,
WBGene00008368,D1053.3,,2,3,9,9,9,3,4,1,7,7,9
WBGene00008369,D1053.4,3,40,24,15,12,12,5,4,2,10,2,4
WBGene00008370,D1054.1,10,42,19,5,16,24,7,14,6,14,17,12
WBGene00008371,D1054.3,248,89,63,84,55,50,29,114,82,52,66,53
WBGene00008372,D1054.5,0.9,4,5,6,5,7,3,4,3,8,3,2
WBGene00008375,D1054.8,0.5,2,7,7,30,38,20,20,8,32,11,14
WBGene00008376,D1054.9,2,4,63,0.8,60,13,8,0.8,0.5,2,0.4,0.1
WBGene00008377,D1054.10,,,0.2,0.2,0.1,4,32,488,486,0.1,0.3,0.2
WBGene00008378,D1054.11,,,,0.1,0.1,2,27,268,486,0.1,0.5,0.5
WBGene00008379,secs-1,7,7,4,4,5,6,2,8,10,6,10,6
WBGene00008380,prp-38,82,59,26,14,24,22,10,46,63,16,25,19
WBGene00008381,D1081.3,,,,0.1,,0.3,1,0.9,0.3,,,
WBGene00008382,D1081.4,0.5,0.6,3,7,3,1,2,0.7,0.2,8,5,3
WBGene00008383,D1081.5,,0.3,0.5,,,4,6,5,2,,0.8,
WBGene00008384,D1081.6,12,2,4,1,0.7,1,1,4,5,2,4,2
WBGene00008385,D1081.7,32,6,7,3,4,20,9,75,90,7,14,8
WBGene00008386,D1081.8,64,74,40,38,38,42,21,66,92,33,44,36
WBGene00008387,D1081.9,8,5,5,11,2,7,4,23,19,2,5,3
WBGene00008388,D1086.1,,,0.1,10,0.9,2,0.9,4,6,53,32,13
WBGene00008389,D1086.2,1,,0.8,19,1,1,0.9,2,1,12,49,15
WBGene00008390,D1086.3,2,2,1,1,6,108,37,9,16,25,4,1
WBGene00008392,D1086.5,0.1,,1,21,6,12,3,4,2,36,32,25
WBGene00008393,D1086.6,,,0.3,,0.1,0.6,11,99,53,0.3,,
WBGene00008394,D1086.7,,,0.3,,0.1,1,28,96,36,2,0.8,0.2
WBGene00008395,D1086.8,2,13,10,12,20,35,12,8,3,40,48,23
WBGene00008396,D1086.9,,,0.2,0.6,0.3,,,,0.1,137,643,176
WBGene00008397,D2005.1,,,0.2,,,,,,,0.1,,
WBGene00008398,D2005.3,78,68,59,52,30,44,55,59,63,110,118,82
WBGene00008399,D2005.4,15,3,3,2,2,12,4,19,19,4,8,5
WBGene00008400,drh-3,15,13,8,4,15,21,5,29,24,12,16,13
WBGene00008401,D2005.6,10,33,81,3,9,6,3,1,0.9,2,1,0.8
WBGene00008402,wdfy-2,49,25,34,34,22,28,19,36,49,37,38,31
WBGene00008403,D2013.3,5,3,1,3,1,0.7,0.8,2,1,3,4,2
WBGene00008404,D2013.6,64,77,64,56,46,33,25,24,28,58,43,46
WBGene00008405,ttll-12,27,9,13,32,35,37,14,30,27,38,41,38
WBGene00008407,D2023.3,0.9,5,10,19,11,4,3,0.9,0.9,19,15,10
WBGene00008408,D2023.4,16,29,19,9,47,55,37,47,26,24,27,24
WBGene00008409,mpst-1,9,21,20,2,27,35,15,38,16,20,22,18
WBGene00008410,D2023.6,6,9,7,5,12,20,9,35,22,10,13,9
WBGene00008411,mans-1,21,34,26,11,23,29,16,32,29,16,16,15
WBGene00008412,D2030.2,28,30,30,42,38,30,12,31,43,159,112,70
WBGene00008413,D2030.3,29,36,19,10,17,20,5,31,15,22,23,21
WBGene00008414,D2030.4,243,207,136,65,224,210,343,179,170,176,102,114
WBGene00008415,mce-1,27,63,77,77,66,70,53,42,52,92,59,34
WBGene00008417,D2030.7,28,6,7,5,4,13,9,46,39,16,22,18
WBGene00008418,D2030.8,36,14,9,6,5,9,4,27,24,8,11,9
WBGene00008419,wdr-23,45,52,56,74,37,26,14,29,42,74,102,69
WBGene00008420,D2030.11,22,27,11,7,10,11,8,18,9,10,15,11
WBGene00008421,D2030.12,3,4,5,8,3,3,4,2,1,13,22,13
WBGene00008422,D2045.2,31,23,17,4,12,16,5,20,42,10,10,11
WBGene00008423,D2045.5,0.9,0.1,0.6,0.5,,0.6,1,2,1,0.1,0.5,0.2
WBGene00008424,D2045.7,7,18,6,4,3,5,5,4,3,4,3,4
WBGene00008425,D2045.8,0.1,0.1,10,6,17,8,10,3,3,6,2,5
WBGene00008426,D2045.9,10,54,11,7,5,9,6,3,1,3,3,5
WBGene00008427,atg-10,11,2,2,1,3,3,2,3,2,3,4,3
WBGene00008428,D2085.3,23,22,18,9,16,23,5,23,13,9,11,8
WBGene00008429,D2085.4,19,32,21,13,17,19,6,21,15,22,21,15
WBGene00008430,hgap-2,24,43,45,21,38,29,10,18,21,27,21,17
WBGene00008431,piga-1,8,12,6,3,7,9,4,13,8,5,5,6
WBGene00008432,D2085.7,0.6,5,6,6,3,3,2,2,0.8,5,9,7
WBGene00008433,2-Mar,1,0.3,1,2,2,0.7,6,5,0.8,0.1,0.6,
WBGene00008434,D2089.3,12,10,4,9,5,2,3,2,4,8,6,4
WBGene00008435,glna-2,0.6,0.3,7,5,6,11,5,11,4,28,30,17
WBGene00008436,DH11.2,3,7,13,11,14,20,14,12,11,71,69,43
WBGene00008438,DH11.5,2,6,14,46,21,8,3,2,2,26,31,25
WBGene00008439,mfb-1,7,34,80,218,14,4,3,3,6,67,31,51
WBGene00008440,DY3.8,168,27,34,8,6,5,5,61,95,8,10,8
WBGene00008441,E01B7.1,24,9,14,10,6,10,6,8,22,8,5,5
WBGene00008442,E01B7.2,18,24,14,3,10,13,12,25,13,13,11,9
WBGene00008443,pde-3,6,3,11,35,8,3,2,2,5,25,21,21
WBGene00008444,tbc-14,33,33,31,22,21,13,7,14,32,38,29,21
WBGene00008446,E01G4.3,70,32,66,65,128,80,67,37,44,657,390,167
WBGene00008447,E01G4.5,41,31,15,9,7,2,2,3,17,32,90,37
WBGene00008448,E01G4.6,0.7,0.2,2,1,1,71,233,6,8,2,0.7,0.4
WBGene00008449,E01G6.1,1,0.7,28,0.7,17,4,6,0.6,0.4,3,0.2,
WBGene00008450,E01G6.2,2,32,33,30,14,7,3,3,1,25,17,12
WBGene00008451,E01G6.3,0.6,8,5,1,5,5,2,3,2,0.4,1,0.4
WBGene00008452,mrps-5,39,70,59,41,72,72,35,57,43,39,70,50
WBGene00008453,E02A10.3,2,8,19,18,9,3,5,3,1,31,27,21
WBGene00008454,E02A10.4,0.1,2,7,54,28,5,4,2,2,68,110,62
WBGene00008455,E02H1.1,41,39,24,52,19,22,6,23,12,28,85,46
WBGene00008456,E02H1.2,9,17,11,6,9,12,6,21,19,12,9,11
WBGene00008457,E02H1.5,46,26,12,4,11,19,17,32,27,23,19,23
WBGene00008458,E02H1.6,27,42,19,30,23,25,11,24,19,28,30,37
WBGene00008459,mrpl-53,51,43,32,14,68,48,45,42,58,33,30,29
WBGene00008460,E02H4.2,0.5,,0.4,0.4,0.1,0.3,0.7,1,0.5,0.6,0.8,0.2
WBGene00008462,E02H4.4,1,4,16,10,3,2,1,0.6,2,3,2,0.8
WBGene00008463,E02H4.5,0.1,1,5,2,0.9,0.4,0.3,0.2,,0.2,0.4,0.5
WBGene00008464,E02H4.6,17,2,4,,,0.1,0.9,12,25,0.1,,
WBGene00008468,E03G2.1,,,0.8,1,0.4,,,,,,0.3,0.2
WBGene00008470,E03H4.2,,,0.1,,,,,,,,,
WBGene00008471,E03H4.3,,,0.2,0.6,0.1,,,,,,,
WBGene00008472,E03H4.4,0.2,,0.2,0.4,,,0.5,0.1,,,,
WBGene00008473,E03H4.5,,,,0.4,,,,,,,,
WBGene00008474,nhr-174,,,0.1,1,,,,,,,,
WBGene00008475,oac-13,0.3,0.3,0.9,6,0.2,,0.1,,0.1,,0.1,0.1
WBGene00008476,E03H4.8,5,6,10,12,5,4,5,3,6,3,3,4
WBGene00008477,clec-17,1,1,36,501,48,15,1,5,1,4,3,0.8
WBGene00008478,E03H4.11,,,0.5,0.1,,,0.4,0.1,,,,
WBGene00008479,glct-2,,,,,,,,,,,,
WBGene00008480,E04D5.1,95,22,41,56,57,105,60,122,156,63,100,101
WBGene00008481,E04D5.2,2,4,9,7,3,2,2,1,0.4,7,8,5
WBGene00008482,cut-4,0.4,0.8,4,2,13,5,13,4,1,49,2,2
WBGene00008483,E04D5.4,0.5,8,2,7,4,5,2,2,2,11,21,16
WBGene00008484,E04D5.5,1,0.8,11,13,9,4,4,3,1,9,6,6
WBGene00008485,ugt-43,,0.3,0.6,0.8,1,2,2,2,1,,0.2,0.1
WBGene00008486,ugt-44,0.3,0.5,4,14,16,37,17,29,12,4,0.6,4
WBGene00008488,F01D4.5,26,40,11,5,6,8,6,24,18,6,9,7
WBGene00008489,srb-17,0.1,,1,1,0.3,0.3,0.3,0.3,0.1,0.6,1,0.5
WBGene00008490,F01D4.8,,0.9,2,6,4,3,0.3,1,0.7,166,78,39
WBGene00008491,F01D4.9,,,0.7,1,0.7,0.3,0.2,0.3,,0.4,0.9,0.5
WBGene00008492,F01D5.1,0.8,,23,18,104,74,48,24,16,11,2,35
WBGene00008493,F01D5.2,,,1,0.2,4,8,9,7,6,1,0.1,1
WBGene00008494,F01D5.3,,,2,0.9,9,15,14,12,13,4,0.8,5
WBGene00008495,F01D5.5,0.2,4,18,12,68,64,22,14,14,59,2,16
WBGene00008496,F01D5.6,8,24,127,1,74,11,28,1,0.6,25,1,0.7
WBGene00008497,F01D5.7,,,0.3,0.1,,1,0.4,0.3,0.1,0.1,,
WBGene00008498,F01D5.8,0.6,1,3,3,2,6,4,4,3,1,0.7,0.6
WBGene00008499,cyp-37A1,0.1,0.2,11,17,18,17,9,7,12,8,4,3
WBGene00008500,F01D5.10,3,0.8,20,1,15,3,9,0.4,0.3,1,2,1
WBGene00008502,skih-2,7,9,7,5,11,18,5,19,12,7,11,7
WBGene00008503,F01G4.4,15,5,6,3,5,10,5,22,38,7,15,6
WBGene00008504,F01G4.5,16,38,17,14,20,23,10,19,9,20,26,19
WBGene00008505,F01G4.6,736,164,315,2546,674,657,307,346,616,505,1201,766
WBGene00008506,tkt-1,91,76,48,36,319,297,185,247,297,242,240,190
WBGene00008507,F01G10.4,,,0.4,0.1,,,0.1,0.2,,2,1,0.6
WBGene00008508,F01G10.5,,,0.2,,,4,2,2,0.7,,,
WBGene00008509,F01G10.6,0.2,3,10,7,12,5,1,0.8,0.1,4,2,2
WBGene00008510,lipl-7,11,64,5,23,9,10,5,7,6,14,19,19
WBGene00008511,F01G10.9,2,42,15,0.7,15,45,6,2,1,3,2,3
WBGene00008512,F01G10.10,3,7,38,0.3,32,11,11,2,0.5,8,0.8,0.8
WBGene00008513,F02A9.1,0.1,0.2,3,16,5,3,2,2,0.6,44,50,29
WBGene00008514,F02A9.4,36,30,29,36,57,68,32,65,39,32,33,32
WBGene00008515,F02C12.1,0.5,2,11,8,5,8,3,5,3,19,8,4
WBGene00008516,F02C12.2,0.1,,0.9,4,0.9,0.4,0.6,0.2,0.1,0.2,0.2,0.6
WBGene00008517,F02C12.3,2,4,3,3,2,2,0.9,1,1,2,0.8,1
WBGene00008518,irld-2,,,3,3,1,0.4,0.7,0.3,0.4,2,3,2
WBGene00008519,cyp-13B1,7,35,10,5,5,10,1,1,0.5,86,110,113
WBGene00008520,F02D8.1,,,1,2,1,0.3,0.4,0.3,,0.6,1,0.8
WBGene00008521,F02D8.4,2,2,14,20,14,20,15,38,15,53,26,16
WBGene00008522,F02D8.5,0.6,5,16,49,16,6,7,2,4,53,59,61
WBGene00008523,F02D10.2,,,,,,,,,,,,
WBGene00008524,F02D10.3,,,0.6,2,0.3,0.2,0.3,,,0.2,,0.2
WBGene00008526,F02D10.6,10,0.9,2,0.1,0.1,0.1,0.1,4,6,,0.2,
WBGene00008527,set-8,,,,,,,,,,,,
WBGene00008528,F02E9.1,14,50,26,3,18,20,16,37,12,16,16,15
WBGene00008529,F02E9.3,,0.1,0.3,0.3,,1,4,10,2,0.1,0.2,
WBGene00008530,F02E9.5,36,63,72,102,42,31,24,29,19,32,33,22
WBGene00008531,F02E9.7,24,21,13,19,11,12,7,25,18,21,21,18
WBGene00008532,dpt-1,48,28,17,9,40,49,18,55,40,22,25,21
WBGene00008533,F02E9.10,57,53,22,16,27,25,7,29,37,16,18,16
WBGene00008535,F02H6.2,13,3,4,0.2,,,0.6,7,13,,,
WBGene00008536,F02H6.3,17,2,4,0.1,,,0.7,8,12,0.1,0.1,
WBGene00008538,sqrd-1,11,18,13,27,12,14,2,5,4,41,24,6
WBGene00008539,F02H6.6,,,0.1,0.2,,,,,0.1,,,
WBGene00008540,F02H6.7,,,,0.1,,,,,,,,
WBGene00008541,F07A5.2,0.3,0.6,0.7,,,12,28,38,6,,0.1,
WBGene00008542,scav-6,0.9,25,24,7,8,12,6,6,2,15,10,10
WBGene00008543,F07A5.4,3,53,23,4,4,2,1,0.9,0.2,2,2,2
WBGene00008545,F07A11.1,1,0.4,6,1,0.5,0.2,0.4,0.3,0.2,0.4,0.2,
WBGene00008546,gfat-1,77,101,103,35,38,62,32,91,321,51,35,36
WBGene00008547,F07A11.4,4,15,44,13,28,29,10,6,4,19,15,13
